year,month,day,dep_time,sched_dep_time,arr_time,sched_arr_time,carrier,flight,tailnum,origin,dest,air_time,distance,name
2013,1,1,606,610,858,910,AA,1895,N633AA,EWR,MIA,152,1085,American Airlines Inc.
2013,1,1,606,610,837,845,DL,1743,N3739P,JFK,ATL,128,760,Delta Air Lines Inc.
2013,1,1,607,607,858,915,UA,1077,N53442,EWR,MIA,157,1085,United Air Lines Inc.
2013,1,1,608,600,807,735,MQ,3768,N9EAMQ,EWR,ORD,139,719,Envoy Air
2013,1,1,611,600,945,931,UA,303,N532UA,JFK,SFO,366,2586,United Air Lines Inc.
2013,1,1,613,610,925,921,B6,135,N635JB,JFK,RSW,175,1074,JetBlue Airways
2013,1,1,615,615,1039,1100,B6,709,N794JB,JFK,SJU,182,1598,JetBlue Airways
2013,1,1,615,615,833,842,DL,575,N326NB,EWR,ATL,120,746,Delta Air Lines Inc.
2013,1,1,622,630,1017,1014,US,245,N807AW,EWR,PHX,342,2133,US Airways Inc.
2013,1,1,623,610,920,915,AA,1837,N3EMAA,LGA,MIA,153,1096,American Airlines Inc.
2013,1,1,623,627,933,932,UA,496,N459UA,LGA,IAH,229,1416,United Air Lines Inc.
2013,1,1,624,630,909,840,EV,4626,N11107,EWR,MSP,190,1008,ExpressJet Airlines Inc.
2013,1,1,624,630,840,830,MQ,4599,N518MQ,LGA,MSP,166,1020,Envoy Air
2013,1,1,627,630,1018,1018,US,27,N535UW,JFK,PHX,330,2153,US Airways Inc.
2013,1,1,628,630,1137,1140,AA,413,N3BAAA,JFK,SJU,192,1598,American Airlines Inc.
2013,1,1,628,630,1016,947,UA,1665,N33289,EWR,LAX,366,2454,United Air Lines Inc.
2013,1,1,629,630,824,810,AA,303,N3CYAA,LGA,ORD,140,733,American Airlines Inc.
2013,1,1,629,630,721,740,WN,4646,N273WN,LGA,BWI,40,185,Southwest Airlines Co.
2013,1,1,629,630,824,833,US,1019,N426US,EWR,CLT,91,529,US Airways Inc.
2013,1,1,632,608,740,728,EV,4144,N13553,EWR,IAD,52,212,ExpressJet Airlines Inc.
2013,1,1,635,635,1028,940,AA,711,N3GKAA,LGA,DFW,248,1389,American Airlines Inc.
2013,1,1,637,645,930,935,B6,389,N709JB,LGA,MCO,144,950,JetBlue Airways
2013,1,1,639,640,739,749,B6,1002,N805JB,JFK,BOS,41,187,JetBlue Airways
2013,1,1,643,646,922,940,UA,556,N497UA,EWR,PBI,146,1023,United Air Lines Inc.
2013,1,1,643,645,837,848,US,926,N178US,EWR,CLT,91,529,US Airways Inc.
2013,1,1,644,636,931,940,UA,1701,N75435,EWR,FLL,151,1065,United Air Lines Inc.
2013,1,1,645,647,815,810,B6,102,N796JB,JFK,BUF,63,301,JetBlue Airways
2013,1,1,646,645,910,916,UA,883,N569UA,LGA,DEN,243,1620,United Air Lines Inc.
2013,1,1,646,645,1023,1030,UA,1496,N38727,EWR,SNA,380,2434,United Air Lines Inc.
2013,1,1,651,655,936,942,B6,203,N558JB,JFK,LAS,323,2248,JetBlue Airways
2013,1,1,652,655,932,921,B6,117,N178JB,JFK,MSY,191,1182,JetBlue Airways
2013,1,1,653,700,936,1009,DL,1383,N327NW,LGA,PBI,149,1035,Delta Air Lines Inc.
2013,1,1,655,655,1021,1030,DL,1415,N3763D,JFK,SLC,294,1990,Delta Air Lines Inc.
2013,1,1,655,700,1037,1045,DL,1865,N705TW,JFK,SFO,362,2586,Delta Air Lines Inc.
2013,1,1,655,700,1002,1020,DL,2003,N997DL,LGA,MIA,161,1096,Delta Air Lines Inc.
2013,1,1,656,700,854,850,AA,305,N4WNAA,LGA,ORD,143,733,American Airlines Inc.
2013,1,1,656,659,949,959,AA,1815,N5FMAA,JFK,MCO,142,944,American Airlines Inc.
2013,1,1,656,705,1007,940,MQ,4534,N722MQ,LGA,XNA,233,1147,Envoy Air
2013,1,1,656,700,948,1011,UA,1115,N24212,EWR,TPA,156,997,United Air Lines Inc.
2013,1,1,657,700,959,1013,DL,1879,N318NB,LGA,FLL,164,1076,Delta Air Lines Inc.
2013,1,1,658,700,944,939,DL,1547,N6703D,LGA,ATL,126,762,Delta Air Lines Inc.
2013,1,1,658,700,1027,1025,VX,399,N627VA,JFK,LAX,361,2475,Virgin America
2013,1,1,659,700,1008,1015,AA,2279,N3EKAA,LGA,MIA,159,1096,American Airlines Inc.
2013,1,1,659,700,1008,1007,B6,981,N646JB,JFK,FLL,156,1069,JetBlue Airways
2013,1,1,659,705,907,913,DL,831,N998DL,LGA,DTW,105,502,Delta Air Lines Inc.
2013,1,1,659,700,959,1008,UA,960,N838UA,EWR,RSW,164,1068,United Air Lines Inc.
2013,1,1,701,700,1123,1154,UA,1203,N77296,EWR,SJU,188,1608,United Air Lines Inc.
2013,1,1,702,700,1058,1014,B6,671,N779JB,JFK,LAX,381,2475,JetBlue Airways
2013,1,1,709,700,852,832,UA,1092,N26226,LGA,ORD,135,733,United Air Lines Inc.
2013,1,1,711,715,1151,1206,B6,715,N651JB,JFK,SJU,190,1598,JetBlue Airways
2013,1,1,712,715,1023,1035,AA,825,N3ETAA,JFK,FLL,159,1069,American Airlines Inc.
2013,1,1,715,713,911,850,UA,544,N841UA,EWR,ORD,156,719,United Air Lines Inc.
2013,1,1,717,720,850,840,FL,850,N978AT,LGA,MKE,134,738,AirTran Airways Corporation
2013,1,1,719,721,1017,1012,B6,987,N562JB,JFK,MCO,147,944,JetBlue Airways
2013,1,1,723,725,1013,1017,UA,962,N514UA,EWR,PBI,153,1023,United Air Lines Inc.
2013,1,1,724,730,1111,1040,AA,715,N541AA,LGA,DFW,254,1389,American Airlines Inc.
2013,1,1,724,725,1020,1030,AS,11,N594AS,EWR,SEA,338,2402,Alaska Airlines Inc.
2013,1,1,725,730,1052,1040,AA,2083,N4WRAA,EWR,DFW,238,1372,American Airlines Inc.
2013,1,1,727,730,959,952,UA,1162,N37462,EWR,DEN,254,1605,United Air Lines Inc.
2013,1,1,728,732,1041,1038,UA,473,N488UA,LGA,IAH,238,1416,United Air Lines Inc.
2013,1,1,729,730,1049,1115,VX,11,N635VA,JFK,SFO,356,2586,Virgin America
2013,1,1,732,735,857,858,B6,20,N304JB,JFK,ROC,64,264,JetBlue Airways
2013,1,1,732,729,1041,1039,B6,1601,N563JB,LGA,RSW,167,1080,JetBlue Airways
2013,1,1,732,645,1011,941,UA,1111,N37456,EWR,MCO,145,937,United Air Lines Inc.
2013,1,1,733,736,854,850,B6,44,N552JB,JFK,SYR,54,209,JetBlue Airways
2013,1,1,734,737,1047,1113,B6,643,N625JB,JFK,SFO,350,2586,JetBlue Airways
2013,1,1,739,745,918,930,AA,309,N4WPAA,LGA,ORD,137,733,American Airlines Inc.
2013,1,1,739,739,1104,1038,UA,1479,N37408,EWR,IAH,249,1400,United Air Lines Inc.
2013,1,1,741,745,1038,1036,B6,983,N633JB,LGA,TPA,158,1010,JetBlue Airways
2013,1,1,743,730,1107,1100,AA,33,N338AA,JFK,LAX,358,2475,American Airlines Inc.
2013,1,1,743,749,1043,1054,B6,341,N624JB,JFK,SRQ,164,1041,JetBlue Airways
2013,1,1,743,730,1059,1056,DL,495,N3760C,JFK,SEA,349,2422,Delta Air Lines Inc.
2013,1,1,745,745,1135,1125,AA,59,N336AA,JFK,SFO,378,2586,American Airlines Inc.
2013,1,1,746,746,1119,1129,UA,1668,N24224,EWR,SFO,373,2565,United Air Lines Inc.
2013,1,1,749,710,939,850,MQ,3737,N508MQ,EWR,ORD,148,719,Envoy Air
2013,1,1,752,755,1041,1059,DL,2263,N325US,LGA,MCO,140,950,Delta Air Lines Inc.
2013,1,1,752,750,1025,1029,UA,477,N511UA,LGA,DEN,249,1620,United Air Lines Inc.
2013,1,1,752,759,955,959,US,1733,N543UW,LGA,CLT,96,544,US Airways Inc.
2013,1,1,753,755,1056,1110,AA,2267,N3HMAA,LGA,MIA,157,1096,American Airlines Inc.
2013,1,1,754,759,1039,1041,DL,2047,N935DL,LGA,ATL,126,762,Delta Air Lines Inc.
2013,1,1,754,755,1103,1030,WN,733,N789SW,LGA,DEN,279,1620,Southwest Airlines Co.
2013,1,1,758,800,1053,1054,B6,517,N645JB,EWR,MCO,142,937,JetBlue Airways
2013,1,1,759,800,1057,1127,DL,1843,N955DL,JFK,MIA,158,1089,Delta Air Lines Inc.
2013,1,1,800,800,1022,1014,DL,2119,N317US,LGA,MSP,171,1020,Delta Air Lines Inc.
2013,1,1,800,810,949,955,MQ,4406,N828MQ,JFK,RDU,80,427,Envoy Air
2013,1,1,801,805,900,919,B6,1172,N206JB,EWR,BOS,38,200,JetBlue Airways
2013,1,1,803,810,903,925,AA,1838,N3GEAA,JFK,BOS,38,187,American Airlines Inc.
2013,1,1,803,800,1132,1144,UA,223,N510UA,JFK,SFO,369,2586,United Air Lines Inc.
2013,1,1,804,810,1103,1116,DL,1959,N947DL,JFK,MCO,147,944,Delta Air Lines Inc.
2013,1,1,805,805,1015,1005,B6,219,N273JB,JFK,CLT,98,541,JetBlue Airways
2013,1,1,805,800,1118,1106,B6,3,N570JB,JFK,FLL,165,1069,JetBlue Airways
2013,1,1,805,815,1006,1010,MQ,4490,N739MQ,LGA,CMH,101,479,Envoy Air
2013,1,1,807,810,1043,1043,DL,269,N308DE,JFK,ATL,126,760,Delta Air Lines Inc.
2013,1,1,809,815,1043,1050,EV,4388,N14542,EWR,JAX,132,820,ExpressJet Airlines Inc.
2013,1,1,810,810,1048,1037,9E,3538,N915XJ,JFK,MSP,189,1029,Endeavor Air Inc.
2013,1,1,810,815,1100,1128,DL,2395,N349NW,LGA,PBI,149,1035,Delta Air Lines Inc.
2013,1,1,811,815,1006,1032,EV,4260,N11193,EWR,CHS,101,628,ExpressJet Airlines Inc.
2013,1,1,811,630,1047,830,MQ,4576,N531MQ,LGA,CLT,118,544,Envoy Air
2013,1,1,811,815,1026,1016,US,675,N654AW,EWR,CLT,96,529,US Airways Inc.
2013,1,1,812,814,1040,1017,EV,4537,N17108,EWR,MEM,180,946,ExpressJet Airlines Inc.
2013,1,1,813,815,1103,1056,DL,914,N375NC,LGA,DEN,267,1620,Delta Air Lines Inc.
2013,1,1,814,810,1047,1030,FL,346,N977AT,LGA,ATL,132,762,AirTran Airways Corporation
2013,1,1,817,810,1005,948,B6,1051,N228JB,JFK,PIT,86,340,JetBlue Airways
2013,1,1,820,820,1254,1310,B6,717,N527JB,JFK,SJU,190,1598,JetBlue Airways
2013,1,1,820,830,940,954,DL,27,N324US,JFK,BOS,36,187,Delta Air Lines Inc.
2013,1,1,820,820,1249,1329,DL,301,N900PC,JFK,SJU,182,1598,Delta Air Lines Inc.
2013,1,1,821,820,1153,1129,B6,181,N521JB,JFK,SAN,354,2446,JetBlue Airways
2013,1,1,821,825,932,945,MQ,4418,N846MQ,JFK,DCA,52,213,Envoy Air
2013,1,1,822,830,1014,1016,EV,4104,N12540,LGA,CLE,91,419,ExpressJet Airlines Inc.
2013,1,1,823,825,1019,1024,US,487,N655AW,JFK,CLT,96,541,US Airways Inc.
2013,1,1,823,823,1151,1135,UA,1223,N39728,EWR,DFW,250,1372,United Air Lines Inc.
2013,1,1,824,830,1027,1025,AA,1855,N573AA,LGA,STL,169,888,American Airlines Inc.
2013,1,1,825,827,1058,1105,B6,611,N292JB,JFK,JAX,130,828,JetBlue Airways
2013,1,1,826,715,1136,1045,AA,443,N3GVAA,JFK,MIA,160,1089,American Airlines Inc.
2013,1,1,826,817,1145,1158,UA,1480,N76522,EWR,SFO,357,2565,United Air Lines Inc.
2013,1,1,828,830,1027,1012,B6,905,N274JB,JFK,ORD,160,740,JetBlue Airways
2013,1,1,828,823,1150,1143,UA,1506,N76528,EWR,LAX,359,2454,United Air Lines Inc.
2013,1,1,829,830,1152,1200,UA,443,N554UA,JFK,LAX,360,2475,United Air Lines Inc.
2013,1,1,829,830,1117,1140,UA,1592,N75425,EWR,MCO,145,937,United Air Lines Inc.
2013,1,1,830,830,1018,1015,AA,313,N4YCAA,LGA,ORD,137,733,American Airlines Inc.
2013,1,1,830,835,1052,1105,MQ,4610,N513MQ,LGA,ATL,123,762,Envoy Air
2013,1,1,831,835,1021,1039,EV,4412,N13969,EWR,MYR,92,550,ExpressJet Airlines Inc.
2013,1,1,832,840,1006,1030,MQ,4521,N725MQ,LGA,RDU,77,431,Envoy Air
2013,1,1,833,835,1134,1102,F9,835,N203FR,LGA,DEN,257,1620,Frontier Airlines Inc.
2013,1,1,835,835,1210,1150,AA,717,N3BDAA,LGA,DFW,249,1389,American Airlines Inc.
2013,1,1,839,850,1027,1035,MQ,4558,N711MQ,LGA,CLE,88,419,Envoy Air
2013,1,1,840,845,1311,1350,AA,1357,N5FSAA,JFK,SJU,188,1598,American Airlines Inc.
2013,1,1,840,845,1053,1102,DL,2304,N926DL,JFK,DTW,108,509,Delta Air Lines Inc.
2013,1,1,846,845,1138,1205,B6,553,N564JB,EWR,RSW,157,1068,JetBlue Airways
2013,1,1,848,1835,1001,1950,MQ,3944,N942MQ,JFK,BWI,41,184,Envoy Air
2013,1,1,848,851,1155,1136,UA,1741,N27724,EWR,JAC,275,1874,United Air Lines Inc.
2013,1,1,851,851,1032,1036,EV,4548,N19966,EWR,RDU,75,416,ExpressJet Airlines Inc.
2013,1,1,851,859,1102,1105,DL,869,N361NB,EWR,DTW,106,488,Delta Air Lines Inc.
2013,1,1,851,840,1215,1206,UA,1626,N39297,EWR,SAN,367,2425,United Air Lines Inc.
2013,1,1,852,855,1046,1020,WN,3848,N777QC,EWR,MDW,146,711,Southwest Airlines Co.
2013,1,1,853,845,1147,1145,B6,59,N184JB,JFK,TPA,159,1005,JetBlue Airways
2013,1,1,855,859,1143,1145,DL,1747,N646DL,LGA,ATL,129,762,Delta Air Lines Inc.
2013,1,1,856,900,1226,1220,AA,1,N324AA,JFK,LAX,358,2475,American Airlines Inc.
2013,1,1,856,900,1222,1232,DL,2143,N970DL,LGA,MIA,158,1096,Delta Air Lines Inc.
2013,1,1,856,855,1140,1203,UA,1296,N75426,EWR,PBI,150,1023,United Air Lines Inc.
2013,1,1,857,900,1516,1530,HA,51,N380HA,JFK,HNL,659,4983,Hawaiian Airlines Inc.
2013,1,1,857,905,1107,1120,DL,181,N321NB,LGA,DTW,110,502,Delta Air Lines Inc.
2013,1,1,857,900,1124,1133,DL,485,N371NB,EWR,ATL,125,746,Delta Air Lines Inc.
2013,1,1,857,851,1157,1222,UA,1670,N45440,EWR,SEA,343,2402,United Air Lines Inc.
2013,1,1,858,900,1102,1110,MQ,4478,N737MQ,LGA,DTW,103,502,Envoy Air
2013,1,1,859,900,1140,1204,DL,1885,N360NB,LGA,MCO,140,950,Delta Air Lines Inc.
2013,1,1,859,900,1223,1225,VX,407,N846VA,JFK,LAX,359,2475,Virgin America
2013,1,1,900,900,1211,1203,UA,1170,N19130,EWR,FLL,161,1065,United Air Lines Inc.
2013,1,1,902,903,1048,1045,UA,580,N820UA,EWR,ORD,145,719,United Air Lines Inc.
2013,1,1,903,820,1045,955,MQ,4655,N532MQ,LGA,BNA,142,764,Envoy Air
2013,1,1,904,906,1207,1226,UA,1401,N77525,EWR,MIA,158,1085,United Air Lines Inc.
2013,1,1,905,905,1309,1229,B6,1061,N281JB,JFK,AUS,263,1521,JetBlue Airways
2013,1,1,906,843,1134,1125,UA,1643,N17139,EWR,DEN,246,1605,United Air Lines Inc.
2013,1,1,908,910,1020,1027,B6,56,N203JB,JFK,BTV,52,266,JetBlue Airways
2013,1,1,908,915,1004,1033,US,1467,N959UW,LGA,PHL,32,96,US Airways Inc.
2013,1,1,908,908,1228,1219,UA,1220,N12216,EWR,IAH,233,1400,United Air Lines Inc.
2013,1,1,909,810,1331,1315,AA,655,N5EXAA,JFK,STT,184,1623,American Airlines Inc.
2013,1,1,912,900,1241,1220,AA,647,N5CRAA,JFK,MIA,166,1089,American Airlines Inc.
2013,1,1,912,906,1219,1226,UA,1601,N38403,EWR,MIA,159,1085,United Air Lines Inc.
2013,1,1,913,918,1346,1416,UA,1519,N24715,EWR,STT,189,1634,United Air Lines Inc.
2013,1,1,914,920,1244,1240,AA,1589,N517AA,EWR,DFW,238,1372,American Airlines Inc.
2013,1,1,914,900,1058,1043,UA,783,N810UA,EWR,CLE,85,404,United Air Lines Inc.
2013,1,1,917,920,1313,1245,AA,721,N596AA,LGA,DFW,258,1389,American Airlines Inc.
2013,1,1,917,915,1206,1211,B6,41,N568JB,JFK,MCO,145,944,JetBlue Airways
2013,1,1,917,920,1052,1108,B6,1103,N216JB,JFK,RDU,80,427,JetBlue Airways
2013,1,1,920,905,1039,1025,B6,1305,N346JB,JFK,IAD,52,228,JetBlue Airways
2013,1,1,920,920,1152,1125,MQ,4582,N527MQ,LGA,CLT,92,544,Envoy Air
2013,1,1,921,900,1237,1227,DL,120,N713TW,JFK,LAX,333,2475,Delta Air Lines Inc.
2013,1,1,923,919,1026,1030,B6,1004,N580JB,JFK,BOS,38,187,JetBlue Airways
2013,1,1,926,929,1404,1421,B6,215,N775JB,EWR,SJU,191,1608,JetBlue Airways
2013,1,1,926,922,1221,1219,B6,57,N534JB,JFK,PBI,151,1028,JetBlue Airways
2013,1,1,926,928,1233,1220,UA,1597,N27733,EWR,EGE,287,1726,United Air Lines Inc.
2013,1,1,927,930,1231,1257,DL,1335,N951DL,LGA,RSW,166,1080,Delta Air Lines Inc.
2013,1,1,929,929,1028,1042,EV,4636,N11551,EWR,DCA,43,199,ExpressJet Airlines Inc.
2013,1,1,929,925,1220,1150,WN,766,N957WN,EWR,DEN,264,1605,Southwest Airlines Co.
2013,1,1,930,905,1218,1209,UA,1148,N57439,EWR,TPA,149,997,United Air Lines Inc.
2013,1,1,931,930,1237,1238,B6,375,N508JB,LGA,FLL,161,1076,JetBlue Airways
2013,1,1,931,930,1121,1108,UA,255,N479UA,LGA,ORD,154,733,United Air Lines Inc.
2013,1,1,932,930,1219,1225,VX,251,N641VA,JFK,LAS,324,2248,Virgin America
2013,1,1,933,937,1057,1102,B6,4,N503JB,JFK,BUF,66,301,JetBlue Airways
2013,1,1,933,904,1252,1210,B6,17,N579JB,JFK,FLL,170,1069,JetBlue Airways
2013,1,1,933,935,1120,1105,WN,3895,N487WN,LGA,MDW,145,725,Southwest Airlines Co.
2013,1,1,936,940,1235,1251,DL,2137,N975DL,LGA,TPA,159,1010,Delta Air Lines Inc.
2013,1,1,936,945,1257,1309,DL,1903,N900DE,LGA,SRQ,169,1047,Delta Air Lines Inc.
2013,1,1,937,940,1238,1235,B6,361,N615JB,LGA,PBI,154,1035,JetBlue Airways
2013,1,1,937,940,1127,1120,WN,1807,N729SW,LGA,MKE,143,738,Southwest Airlines Co.
2013,1,1,940,945,1119,1130,AA,319,N4WJAA,LGA,ORD,133,733,American Airlines Inc.
2013,1,1,940,955,1226,1220,MQ,4654,N525MQ,LGA,ATL,129,762,Envoy Air
2013,1,1,941,945,1300,1258,B6,679,N806JB,JFK,LAX,352,2475,JetBlue Airways
2013,1,1,946,959,1146,1202,EV,4175,N15912,EWR,AVL,105,583,ExpressJet Airlines Inc.
2013,1,1,947,953,1053,1110,B6,600,N306JB,JFK,PWM,47,273,JetBlue Airways
2013,1,1,950,954,1155,1142,EV,4681,N12567,EWR,STL,170,872,ExpressJet Airlines Inc.
2013,1,1,953,959,1141,1129,MQ,4670,N6EAMQ,LGA,BNA,144,764,Envoy Air
2013,1,1,953,921,1320,1241,UA,222,N586UA,EWR,LAX,346,2454,United Air Lines Inc.
2013,1,1,955,1000,1336,1325,US,75,N642AW,EWR,PHX,324,2133,US Airways Inc.
2013,1,1,956,1000,1241,1241,DL,1847,N956DL,LGA,ATL,129,762,Delta Air Lines Inc.
2013,1,1,957,733,1056,853,UA,856,N534UA,EWR,BOS,37,200,United Air Lines Inc.
2013,1,1,959,1002,1313,1319,DL,2379,N965DL,LGA,FLL,151,1076,Delta Air Lines Inc.
2013,1,1,959,1000,1151,1206,US,1177,N765US,LGA,CLT,90,544,US Airways Inc.
2013,1,1,1003,1010,1255,1320,B6,503,N565JB,EWR,FLL,152,1065,JetBlue Airways
2013,1,1,1003,959,1408,1329,US,196,N541UW,JFK,PHX,342,2153,US Airways Inc.
2013,1,1,1005,1000,1239,1234,UA,1625,N81449,EWR,DEN,254,1605,United Air Lines Inc.
2013,1,1,1007,1010,1147,1140,MQ,3795,N503MQ,EWR,ORD,131,719,Envoy Air
2013,1,1,1009,1015,1219,1229,DL,2319,N933DL,LGA,MSP,160,1020,Delta Air Lines Inc.
2013,1,1,1010,1015,1204,1210,US,1103,N162UW,EWR,CLT,90,529,US Airways Inc.
2013,1,1,1010,1015,1225,1214,US,1441,N712US,JFK,CLT,97,541,US Airways Inc.
2013,1,1,1011,1001,1133,1128,EV,5736,N820AS,LGA,IAD,59,229,ExpressJet Airlines Inc.
2013,1,1,1011,1015,1246,1307,DL,1529,N399DA,JFK,LAS,320,2248,Delta Air Lines Inc.
2013,1,1,1021,1023,1254,1252,FL,347,N942AT,LGA,ATL,129,762,AirTran Airways Corporation
2013,1,1,1024,1029,1140,1150,EV,4709,N14905,EWR,BUF,59,282,ExpressJet Airlines Inc.
2013,1,1,1024,1030,1204,1215,MQ,4471,N719MQ,LGA,RDU,78,431,Envoy Air
2013,1,1,1025,1020,1356,1330,AA,731,N3FXAA,LGA,DFW,247,1389,American Airlines Inc.
2013,1,1,1025,951,1258,1302,UA,501,N437UA,EWR,MCO,137,937,United Air Lines Inc.
2013,1,1,1026,1030,1351,1340,AA,19,N328AA,JFK,LAX,356,2475,American Airlines Inc.
2013,1,1,1028,1026,1350,1339,UA,1004,N76508,LGA,IAH,237,1416,United Air Lines Inc.
2013,1,1,1029,1030,1427,1355,AA,179,N325AA,JFK,SFO,389,2586,American Airlines Inc.
2013,1,1,1030,1035,1229,1246,EV,4277,N11189,EWR,CHS,100,628,ExpressJet Airlines Inc.
2013,1,1,1031,1030,1353,1415,VX,23,N625VA,JFK,SFO,363,2586,Virgin America
2013,1,1,1031,1030,1323,1334,UA,1294,N77258,EWR,FLL,157,1065,United Air Lines Inc.
2013,1,1,1032,1035,1305,1250,EV,4180,N13955,EWR,IND,135,645,ExpressJet Airlines Inc.
2013,1,1,1033,1017,1130,1136,UA,779,N849UA,EWR,BOS,42,200,United Air Lines Inc.
2013,1,1,1037,1030,1221,1210,AA,321,N581AA,LGA,ORD,133,733,American Airlines Inc.
2013,1,1,1038,1030,1223,1202,UA,985,N423UA,EWR,ORD,149,719,United Air Lines Inc.
2013,1,1,1042,1040,1325,1326,B6,31,N529JB,JFK,MCO,142,944,JetBlue Airways
2013,1,1,1044,1045,1231,1212,EV,4322,N15555,EWR,MKE,151,725,ExpressJet Airlines Inc.
2013,1,1,1044,1045,1352,1351,UA,455,N667UA,EWR,IAH,229,1400,United Air Lines Inc.
2013,1,1,1044,1041,1339,1350,UA,1060,N76503,EWR,RSW,157,1068,United Air Lines Inc.
2013,1,1,1047,1055,1359,1405,AA,739,N3AVAA,LGA,DFW,230,1389,American Airlines Inc.
2013,1,1,1047,1050,1401,1410,DL,1275,N3748Y,JFK,SLC,295,1990,Delta Air Lines Inc.
2013,1,1,1048,1050,1302,1250,MQ,4589,N537MQ,LGA,DTW,112,502,Envoy Air
2013,1,1,1053,1050,1402,1358,B6,373,N520JB,LGA,FLL,165,1076,JetBlue Airways
2013,1,1,1054,1059,1326,1339,DL,1647,N920DE,LGA,ATL,129,762,Delta Air Lines Inc.
2013,1,1,1056,1059,1203,1209,EV,4479,N11544,EWR,PWM,51,284,ExpressJet Airlines Inc.
2013,1,1,1056,1100,1407,1413,DL,2185,N917DL,LGA,TPA,158,1010,Delta Air Lines Inc.
2013,1,1,1058,1100,1210,1216,US,2171,N951UW,LGA,DCA,50,214,US Airways Inc.
2013,1,1,1059,1100,1201,1215,WN,321,N505SW,LGA,BWI,43,185,Southwest Airlines Co.
2013,1,1,1059,1100,1210,1215,MQ,3792,N509MQ,JFK,DCA,50,213,Envoy Air
2013,1,1,1059,1053,1342,1351,UA,369,N451UA,EWR,LAS,325,2227,United Air Lines Inc.
2013,1,1,1101,1043,1345,1332,B6,545,N630JB,EWR,PBI,145,1023,JetBlue Airways
2013,1,1,1103,1100,1410,1421,DL,2071,N339NW,LGA,MIA,155,1096,Delta Air Lines Inc.
2013,1,1,1105,1047,1428,1405,UA,688,N521UA,EWR,SFO,356,2565,United Air Lines Inc.
2013,1,1,1107,1115,1305,1310,MQ,4485,N730MQ,LGA,CMH,95,479,Envoy Air
2013,1,1,1109,1115,1402,1425,AA,2099,N3GSAA,LGA,MIA,157,1096,American Airlines Inc.
2013,1,1,1111,1115,1222,1226,B6,24,N279JB,JFK,BTV,52,266,JetBlue Airways
2013,1,1,1112,1100,1440,1438,UA,285,N517UA,JFK,SFO,364,2586,United Air Lines Inc.
2013,1,1,1113,1115,1318,1315,DL,1031,N320NB,LGA,DTW,104,502,Delta Air Lines Inc.
2013,1,1,1114,900,1447,1222,UA,1086,N76502,LGA,IAH,248,1416,United Air Lines Inc.
2013,1,1,1120,944,1331,1213,EV,4495,N16561,EWR,SAV,117,708,ExpressJet Airlines Inc.
2013,1,1,1120,1125,1330,1325,WN,1057,N469WN,LGA,STL,176,888,Southwest Airlines Co.
2013,1,1,1123,1110,1410,1336,UA,405,N587UA,LGA,DEN,256,1620,United Air Lines Inc.
2013,1,1,1124,1100,1435,1431,B6,641,N590JB,JFK,SFO,349,2586,JetBlue Airways
2013,1,1,1124,1125,1445,1445,DL,1171,N376NW,LGA,RSW,169,1080,Delta Air Lines Inc.
